set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
858-1,Auto Engines,,,51,4.5,2,Technical,Technic,,,1980,,,242,0
1591-1,Danone Delivery Truck,,129,28,,,Modern day,Town,Special,,1980,,,40,0
1592-1,Town Square - Castle Scene,,1168,191,4.8,4,Modern day,Town,Classic,,1980,,,471,11
1651-2,Maersk Line Container Lorry,,,444,5,1,Modern day,Town,Special,,1980,,,305,1
3602-1,Pram - Lisa Lamb Goes Walking,,,8,,,Junior,Fabuland,,,1980,,,3,1
3604-1,Mark Monkey with his Fruit Stall,,18,7,3,1,Junior,Fabuland,,,1980,,,3,1
3605-1,Ricky Racoon and his Scooter,,18,4,,,Junior,Fabuland,,,1980,,,1,1
3634-1,Charlie Crow's Carry-All,,90,13,3,1,Junior,Fabuland,,,1980,,,17,1
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,,,45,4,1,Junior,Fabuland,,,1980,,,36,2
4306-1,Rings,,,,,,Girls,Scala,Jewellery,,1980,,,15,0
4307-1,Rings,,,,,,Girls,Scala,Jewellery,,1980,,,15,0
4336-1,Picture Frame and Mirror,,,,,,Girls,Scala,Jewellery,,1980,,,52,0
6304-1,"Road Plates, Cross",,22,11,4,1,Modern day,Town,Accessories,,1980,,,2,0
6305-1,Trees and Flowers,3.75,28,10,4.3,4,Modern day,Town,Accessories,,1980,,,12,0
6306-1,Road Signs,2.5,49,13,4,3,Modern day,Town,Accessories,,1980,,,12,0
6363-1,Auto Repair Shop,,744,29,4.6,5,Modern day,Town,Shops and Services,,1980,,,141,1
6364-1,Paramedic Unit,,272,35,5,5,Modern day,Town,Medical,,1980,,,137,2
6375-2,Exxon Gas Station,20,,72,4.8,5,Modern day,Town,Shops and Services,,1980,,,267,3
6390-1,Main Street,40,,260,4.6,5,Modern day,Town,Shops and Services,,1980,,,591,8
6609-1,Race Car,,33,3,4.3,3,Modern day,Town,Racing,,1980,,,17,1
6627-1,Convertible,,88,6,5,7,Modern day,Town,Vehicles,,1980,,,37,1
6647-1,Highway Repair,,167,6,4,1,Modern day,Town,Maintenance,,1980,,,55,1
6648-2,Dump Truck,,149,7,4,2,Modern day,Town,Construction,,1980,,,42,1
6678-1,Pneumatic Crane,,88,11,5,2,Modern day,Town,Construction,,1980,,,60,1
6679-2,Exxon Tow Truck,,,18,4.5,2,Modern day,Town,Vehicles,,1980,,,79,1
6690-1,Snorkel Pumper,,163,10,4.5,2,Modern day,Town,Fire,,1980,,,91,2
6821-1,Shovel Buggy,,219,6,3.7,3,Action/Adventure,Space,Classic,,1980,,,28,1
6841-1,Mineral Detector,,294,7,4.5,2,Action/Adventure,Space,Classic,,1980,,,44,1
6861-1,X1 Patrol Craft,4,158,37,5,2,Action/Adventure,Space,Classic,,1980,,,55,1
6901-1,Mobile Lab,,8,64,3.8,5,Action/Adventure,Space,Classic,,1980,,,135,2
6970-1,Beta I Command Base,37,1117,133,5,9,Action/Adventure,Space,Classic,,1980,,,264,4
7710-1,Push-Along Passenger Steam Train,,,107,4.2,5,Modern day,Trains,4.5/12 V,,1980,,,447,5
7720-1,Diesel Freight Train Set,,,116,4,3,Modern day,Trains,4.5/12 V,,1980,,,425,3
7730-1,Electric Goods Train Set,,,314,4.5,2,Modern day,Trains,4.5/12 V,,1980,,,512,2
7740-1,Inter-City Passenger Train Set,,1681,265,5,4,Modern day,Trains,4.5/12 V,,1980,,,786,10
7750-1,Steam Engine with Tender,,,348,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,263,2
7760-1,Diesel Shunter Locomotive,,1126,209,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,150,2
7810-1,Push-Along Steam Engine,,252,66,3,1,Modern day,Trains,4.5/12 V,,1980,,,97,1
7814-1,Crane Wagon,,,53,5,1,Modern day,Trains,4.5/12 V,,1980,,,113,2
7816-1,Shell Tanker Wagon,,,42,2,2,Modern day,Trains,4.5/12 V,,1980,,,120,1
7818-1,Passenger Coach,,179,38,4.7,3,Modern day,Trains,4.5/12 V,,1980,,,114,2
7820-1,Mail Van,,308,81,4,3,Modern day,Trains,4.5/12 V,,1980,,,212,2
7822-1,Railway Station,,,95,4.5,2,Modern day,Trains,4.5/12 V,,1980,,,384,3
7834-1,Level Crossing,,169,41,3,2,Modern day,Trains,4.5/12 V,,1980,,,91,1
7850-1,8 Straight Rails Grey 4.5 V,,25,16,,,Modern day,Trains,4.5/12 V,,1980,,,32,0
7851-1,8 Curved Rails Grey 4.5 V,,12,9,5,1,Modern day,Trains,4.5/12 V,,1980,,,32,0
7852-1,Left and Right Points Manual Grey 4.5 V,,8,7,5,2,Modern day,Trains,4.5/12 V,,1980,,,14,0
7853-1,"Crossing, Grey 4.5 V",,8,7,,,Modern day,Trains,4.5/12 V,,1980,,,5,0
7854-1,8 Straight Electric Rails Grey 12 V,,23,14,4,1,Modern day,Trains,4.5/12 V,,1980,,,8,0
7855-1,8 Curved Electric Rails Grey 12 V,,11,7,,,Modern day,Trains,4.5/12 V,,1980,,,8,0
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,,44,31,,,Modern day,Trains,4.5/12 V,,1980,,,16,0
7857-1,"Crossing, Electric Rails Grey 12 V",,12,7,,,Modern day,Trains,4.5/12 V,,1980,,,5,0
7858-1,Remote Controlled Points Right 12 V,,73,41,,,Modern day,Trains,4.5/12 V,,1980,,,12,0
7859-1,Remote Controlled Points Left 12 V,,91,41,,,Modern day,Trains,4.5/12 V,,1980,,,12,0
7860-1,Remote Controlled Signal 12 V,,142,76,4.5,2,Modern day,Trains,4.5/12 V,,1980,,,24,0
7861-1,Lighting Set Electric 12 V,,47,24,4,1,Modern day,Trains,4.5/12 V,,1980,,,28,0
7863-1,Remote Controlled Point Motor 12 V,,52,42,3,1,Modern day,Trains,4.5/12 V,,1980,,,7,0
7864-1,Transformer / Speed Controller 12 V,,76,27,3.5,2,Modern day,Trains,4.5/12 V,,1980,,,33,0
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,,188,92,4,1,Modern day,Trains,4.5/12 V,,1980,,,19,0
8857-2,Motorcycles,49.5,,79,,,Technical,Technic,,,1980,,,377,0
8858-2,Auto Engines,69,,100,5,2,Technical,Technic,,,1980,,,460,0
8860-1,Car Chassis,59,661,94,4.7,19,Technical,Technic,,,1980,,,668,0
3601-1,Elton Elephant,,,9,3,1,Junior,Fabuland,,,1981,,,6,1
3603-1,Boris Bulldog and Mailbox,,,6,3,1,Junior,Fabuland,,,1981,,,5,1
3615-1,Percy Pig,,,7,,,Junior,Fabuland,,,1981,,,4,1
3628-1,Perry Panda and Chester Chimp,,25,13,4,1,Junior,Fabuland,,,1981,,,3,2
3629-1,Barney Bear,,52,9,,,Junior,Fabuland,,,1981,,,16,1
3635-1,Bonnie Bunny's Camper,,125,15,3.5,2,Junior,Fabuland,,,1981,,,25,1
6075-2,Castle,48,,335,5,1,Historical,Castle,Classic,,1981,,,767,14
6077-1,Knight's Procession,5,,43,4,1,Historical,Castle,Classic,,1981,,,48,6
6083-1,Knight's Joust,16,,195,,,Historical,Castle,Classic,,1981,,,211,6
6365-1,Summer Cottage,,211,30,4.7,6,Modern day,Town,Leisure,,1981,,,144,1
6382-1,Fire Station,25,417,52,4.7,9,Modern day,Town,Fire,,1981,,,390,4
6383-1,Public Works Center,30,799,447,5,6,Modern day,Town,Maintenance,,1981,,,421,4
6600-1,Police Patrol,,,20,3.5,2,Modern day,Town,Classic,,1981,,,23,1
6602-1,Fire Unit I,,,7,2,1,Modern day,Town,Classic,,1981,,,29,1
6610-1,Gas Pumps,,89,7,4.3,3,Modern day,Town,Shops and Services,,1981,,,29,1
6611-1,Fire Chief's Car,,88,2,4,3,Modern day,Town,Fire,,1981,,,20,1
6626-1,Rescue Helicopter,,,14,,,Modern day,Town,Classic,,1981,,,37,0
6628-1,Shell Tow Truck,,53,5,3.8,5,Modern day,Town,Vehicles,,1981,,,38,0
6629-1,Ambulance,,126,4,4,2,Modern day,Town,Medical,,1981,,,39,1
6630-1,Bucket Loader,,125,5,4.3,3,Modern day,Town,Construction,,1981,,,34,1
6650-1,Fire and Rescue Van,,127,7,4,2,Modern day,Town,Fire,,1981,,,46,1
6680-1,Ambulance,,148,11,5,2,Modern day,Town,Medical,,1981,,,63,2
6681-1,Police Van,,500,9,4.7,3,Modern day,Town,Police,,1981,,,82,1
6691-1,Red Cross Helicopter,,78,13,4.3,3,Modern day,Town,Medical,,1981,,,107,2
6801-1,Moon Buggy,,70,9,4.7,6,Action/Adventure,Space,Classic,,1981,,,22,1
6822-1,Space Digger,,52,7,3.7,6,Action/Adventure,Space,Classic,,1981,,,33,1
6842-1,Small Space Shuttle Craft,,113,9,3.6,5,Action/Adventure,Space,Classic,,1981,,,46,1
6870-1,Space Probe Launcher,,112,10,3.3,6,Action/Adventure,Space,Classic,,1981,,,60,1
6927-1,All-Terrain Vehicle,14.5,299,43,4.5,8,Action/Adventure,Space,Classic,,1981,,,170,2
6929-1,Star Fleet Voyager,15,650,59,4.8,12,Action/Adventure,Space,Classic,,1981,,,242,1
7725-1,Electric Passenger Train Set,70,986,185,4.4,5,Modern day,Trains,4.5/12 V,,1981,,,485,1
7862-1,Remote Controlled Decoupling and Signal 12 V,,148,95,3,1,Modern day,Trains,4.5/12 V,,1981,,,16,0
8710-1,Technical Elements,,49,34,4,1,Technical,Technic,Supplementary,,1981,,,124,0
8844-1,Helicopter,,288,26,4.3,3,Technical,Technic,,,1981,,,316,0
8845-1,Dune Buggy,20,295,17,3.6,8,Technical,Technic,,,1981,,,174,0
8848-1,Power Truck,,425,49,4.2,6,Technical,Technic,,,1981,,,398,0
8859-1,Tractor,,,105,3.7,6,Technical,Technic,,,1981,,,610,0
1590-2,Breakdown Assistance,,,127,4,1,Modern day,Town,Special,,1982,,,233,4
3654-1,Lisa Lamb's House,10,140,16,,,Junior,Fabuland,,,1982,,,32,1
3666-1,Billy Bear and Mortimer Mouse's Service Station,,,99,,,Junior,Fabuland,,,1982,,,28,2
3667-1,Pat and Freddy's Shop,,,79,4,1,Junior,Fabuland,,,1982,,,58,2
3669-1,Fire Station,,,49,,,Junior,Fabuland,,,1982,,,33,3
3672-1,The Motel,,,90,5,1,Junior,Fabuland,,,1982,,,60,3
3678-1,Lionel Lion's Lodge,,,224,,,Junior,Fabuland,,,1982,,,123,4
3694-1,Figure collection,,,,,,Junior,Fabuland,,,1982,,,,0
3695-1,Figure collection,,,,,,Junior,Fabuland,,,1982,,,,80
3701-1,Charlie Cat the fisherman,1.5,17,8,4,2,Junior,Fabuland,,,1982,,,2,1
3703-1,Peter Pig the Cook,,1,6,3,1,Junior,Fabuland,,,1982,,,2,1
3704-1,Marjorie Mouse,1.5,,8,,,Junior,Fabuland,,,1982,,,2,1
3706-1,Ernie Elephant,,30,6,3,2,Junior,Fabuland,,,1982,,,2,1
3707-1,Clara Cow,,20,8,3,1,Junior,Fabuland,,,1982,,,2,1
3708-1,Rufus Rabbit,,22,6,3.5,2,Junior,Fabuland,,,1982,,,3,1
3781-1,Maximillian Mouse,,,11,,,Junior,Fabuland,,,1982,,,4,1
3782-1,Paul Parrot,,23,9,2,1,Junior,Fabuland,,,1982,,,4,1
3784-1,Hugo Hog the Tinker,,22,7,4,1,Junior,Fabuland,,,1982,,,4,1
3786-1,Boris Bulldog,,30,7,5,1,Junior,Fabuland,,,1982,,,8,1
4005-1,Tug Boat,10,,22,4.4,8,Modern day,Boats,,,1982,,,66,1
4015-1,Freighter,,,65,4,7,Modern day,Boats,,,1982,,,80,2
4025-1,Fire Boat,,275,33,4.5,2,Modern day,Boats,,,1982,,,150,3
6302-1,Mini-Figure Set,,77,30,5,2,Modern day,Town,Accessories,,1982,,,25,6
6308-1,Policemen,,,6,,,Modern day,Town,Accessories,,1982,,,20,4
6362-1,Post Office,,329,40,4.7,10,Modern day,Town,Postal,,1982,,,133,1
6372-1,Town House,,784,47,4.8,4,Modern day,Town,Leisure,,1982,,,217,2
6607-1,Service Truck,,73,4,4,5,Modern day,Town,Maintenance,,1982,,,25,1
6608-1,Tractor,,68,3,3.5,4,Modern day,Town,Maintenance,,1982,,,21,1
6651-1,Mail Truck,,167,11,4.2,5,Modern day,Town,Postal,,1982,,,47,1
6653-1,Highway Maintenance Truck,,36,11,4.5,4,Modern day,Town,Maintenance,,1982,,,56,1
6685-1,Fire Copter 1,,268,10,4.9,7,Modern day,Town,Fire,,1982,,,99,1
6880-1,Surface Explorer,7.5,134,23,4,4,Action/Adventure,Space,Classic,,1982,,,82,1
6890-1,Cosmic Cruiser,11,270,28,4.8,4,Action/Adventure,Space,Classic,,1982,,,115,1
6950-1,Mobile Rocket Transport,,410,72,4.6,7,Action/Adventure,Space,Classic,,1982,,,209,2
8030-1,Universal Set,,,11,3.7,3,Technical,Technic,Universal,,1982,,,141,0
8050-1,Universal Motor Set,,,35,4,1,Technical,Technic,Universal,,1982,,,141,0
8090-1,Universal Set,,,85,,,Technical,Technic,Universal,,1982,,,266,0
8700-1,Power Pack,,68,29,5,1,Technical,Technic,Supplementary,,1982,,,26,0
8846-1,Tow Truck,,,43,4.7,3,Technical,Technic,,,1982,,,379,0
1593-1,Super Model Building Instructions,,,215,2.2,6,Action/Adventure,Space,Classic,,1983,,,313,2
1924-1,Motorcycle,,,12,4.7,3,Technical,Technic,,,1983,,,103,0
3626-1,Roger Racoon and his Sports Car,,55,16,,,Junior,Fabuland,,,1983,,,16,1
3627-1,Bonnie Bunny ,,104,16,,,Junior,Fabuland,,,1983,,,18,1
3637-1,Gertrude Goat the painter,,,24,,,Junior,Fabuland,,,1983,,,14,1
3638-1,Fire Engine,,,14,,,Junior,Fabuland,,,1983,,,17,1
3709-1,Henry Horse the carpenter,,22,5,,,Junior,Fabuland,,,1983,,,2,1
3710-1,Patrick Panda,,18,8,,,Junior,Fabuland,,,1983,,,2,1
3787-1,Hannah Hippopotamus the public gardener,,32,12,,,Junior,Fabuland,,,1983,,,8,1
3788-1,Paulette Poodles' Living Room,,90,12,,,Junior,Fabuland,,,1983,,,12,1
6002-1,Town Figures,,,321,,,Modern day,Town,Accessories,,1983,,,20,4
6002-2,Castle Figures,,,45,4.5,2,Historical,Castle,Classic,,1983,,,22,4
6307-1,Firemen,,,192,4,1,Modern day,Town,Accessories,,1983,,,22,4
6371-1,Shell Service Station,,655,89,4,2,Modern day,Town,Shops and Services,,1983,,,261,3
6374-1,Holiday Home,,,66,5,4,Modern day,Town,Leisure,,1983,,,257,2
6384-1,Police Station,,325,52,4.5,6,Modern day,Town,Police,,1983,,,389,4
6606-1,Road Repair Set,,29,4,4,2,Modern day,Town,Maintenance,,1983,,,27,1
6623-1,Police Car,,28,7,4.3,6,Modern day,Town,Police,,1983,,,39,1
6624-1,Delivery Van,,67,8,4.5,6,Modern day,Town,Vehicles,,1983,,,41,1
6652-1,Construction Truck,,111,4,4,3,Modern day,Town,Construction,,1983,,,44,1
6654-1,Motorcycle Transport,,139,8,4.2,5,Modern day,Town,Vehicles,,1983,,,50,1
6683-1,Hamburger Stand,,305,30,5,7,Modern day,Town,Shops and Services,,1983,,,69,2
6692-1,Tractor Trailer,,249,16,4.5,4,Modern day,Town,Vehicles,,1983,,,96,1
6701-1,Minifig Pack,,159,23,5,2,Action/Adventure,Space,Classic,,1983,,,36,6
6711-1,Minifig Pack,4.5,,43,5,1,Action/Adventure,Space,Classic,,1983,,,24,4
6803-1,Space Patrol,,80,8,4.7,3,Action/Adventure,Space,Classic,,1983,,,25,1
6823-1,Surface Transport,,87,8,4,2,Action/Adventure,Space,Classic,,1983,,,27,1
6844-1,Sismobile,,75,8,5,4,Action/Adventure,Space,Classic,,1983,,,46,1
6930-1,Space Supply Station,,520,56,4.6,10,Action/Adventure,Space,Classic,,1983,,,206,4
6980-1,Galaxy Commander,,1846,150,4.7,11,Action/Adventure,Space,Classic,,1983,,,443,5
7727-1,Freight Steam Train Set,,,533,5,1,Modern day,Trains,4.5/12 V,,1983,,,570,2
7755-1,Diesel Heavy Shunting Locomotive,,588,213,3.8,4,Modern day,Trains,4.5/12 V,,1983,,,164,1
7815-1,Passenger Carriage / Sleeper,,480,141,4.8,4,Modern day,Trains,4.5/12 V,,1983,,,228,2
7819-1,Postal Container Wagon,,280,119,4.5,2,Modern day,Trains,4.5/12 V,,1983,,,183,1
7821-1,Track & Lighting Maintenance Wagon,,159,44,4.5,2,Modern day,Trains,4.5/12 V,,1983,,,90,2
7824-1,Railway Station,44.75,295,94,4.2,5,Modern day,Trains,4.5/12 V,,1983,,,478,9
7838-1,Freight Loading Depot,,407,133,5,1,Modern day,Trains,4.5/12 V,,1983,,,315,3
7866-1,Remote Controlled Road Crossing 12 V,,512,159,5,3,Modern day,Trains,4.5/12 V,,1983,,,191,1
7867-1,4 Lighting Standards Electric 12 V,,83,45,4,1,Modern day,Trains,4.5/12 V,,1983,,,52,0
8841-1,Dune Buggy,,111,10,3,3,Technical,Technic,,,1983,,,180,0
8847-1,Dragster,,,52,4.5,2,Technical,Technic,,,1983,,,250,0
15-1,Castle Minifigures,,,63,,,Historical,Castle,Classic,,1984,,,10,6
105-1,Mail Van,,199,102,4,1,Modern day,Town,Special,,1984,,,65,1
801-4,Fabuland Characters,,,,,,Junior,Fabuland,,,1984,,,,2
3630-1,Percy Pilot,,,18,,,Junior,Fabuland,,,1984,,,8,1
3639-1,Paddy Wagon,,,14,,,Junior,Fabuland,,,1984,,,9,2
3664-1,Bertie Bulldog (Police Chief) and Constable Bulldog,,,31,5,1,Junior,Fabuland,,,1984,,,63,2
3670-1,Service Station,20,,54,,,Junior,Fabuland,,,1984,,,52,2
3671-1,Airport,22.25,197,81,,,Junior,Fabuland,,,1984,,,49,3
3711-1,Tubby and Tuba,,,9,,,Junior,Fabuland,,,1984,,,4,1
3712-1,Robby Rabbit,,,6,,,Junior,Fabuland,,,1984,,,4,1
3713-1,Mike Monkey,,,21,,,Junior,Fabuland,,,1984,,,7,1
3789-1,Constable Clarke,,60,8,,,Junior,Fabuland,,,1984,,,5,1
3791-1,Wally Walrus,,,8,,,Junior,Fabuland,,,1984,,,6,1
6010-1,Supply Wagon,3,167,10,4.4,12,Historical,Castle,Lion Knights,,1984,,,35,1
6021-1,Jousting Knights,5.25,91,17,4,5,Historical,Castle,Lion Knights,,1984,,,37,2
6022-1,Horse Cart,5,54,15,3.3,6,Historical,Castle,Lion Knights,,1984,,,42,2
6030-1,Catapult,6,264,18,4,8,Historical,Castle,Black Falcons,,1984,,,83,2
6040-1,Blacksmith Shop,9.25,299,30,4.4,8,Historical,Castle,Lion Knights,,1984,,,92,2
6061-1,Siege Tower,17.5,333,44,4.3,6,Historical,Castle,Lion Knights,,1984,,,216,4
6073-1,Knight's Castle,27,862,97,4.4,12,Historical,Castle,Black Falcons,,1984,,,410,6
6080-1,King's Castle,52.75,2314,163,4.9,15,Historical,Castle,Lion Knights,,1984,,,674,12
6103-2,Castle Figures,,90,27,,,Historical,Castle,Accessories,,1984,,,25,4
6366-1,Fire & Rescue Squad,,227,24,4.3,4,Modern day,Town,Fire,,1984,,,112,3
6367-1,Semi Truck,,621,27,4,1,Modern day,Town,Vehicles,,1984,,,155,1
6373-1,Motorcycle Shop,17.5,1049,49,4.9,7,Modern day,Town,Shops and Services,,1984,,,171,2
6391-1,Cargo Center,43,688,182,5,1,Modern day,Town,Shops and Services,,1984,,,553,5
6605-1,Road Racer,,30,3,3,1,Modern day,Town,Racing,,1984,,,20,1
6621-1,Fire Truck,,175,6,3,1,Modern day,Town,Fire,,1984,,,38,1
6622-1,Mailman on Motorcycle,,88,7,4.3,4,Modern day,Town,Postal,,1984,,,26,2
6628-2,Construction Workers,,,,4,1,Modern day,Town,Accessories,,1984,,,20,4
6655-1,Auto & Tire Repair,,79,11,4.3,6,Modern day,Town,Shops and Services,,1984,,,58,1
6684-1,Police Patrol Squad,6.5,93,11,4,5,Modern day,Town,Police,,1984,,,77,2
6686-1,Backhoe,,284,12,5,1,Modern day,Town,Construction,,1984,,,88,1
6694-1,Car with Camper,,,13,5,1,Modern day,Town,Leisure,,1984,,,109,2
6695-1,Tanker Truck,,298,14,,,Modern day,Town,Vehicles,,1984,,,106,1
6696-1,Fuel Tanker,,,63,4,3,Modern day,Town,Vehicles,,1984,,,106,1
6804-1,Surface Rover,0.99,118,13,4,4,Action/Adventure,Space,Classic,,1984,,,21,1
6824-1,Space Dart I,,125,24,4.3,3,Action/Adventure,Space,Classic,,1984,,,48,1
6846-1,Tri-Star Voyager,4.45,208,10,4.8,5,Action/Adventure,Space,Classic,,1984,,,69,1
6871-1,Star Patrol Launcher,,198,18,4,2,Action/Adventure,Space,Classic,,1984,,,70,2
6881-1,Lunar Rocket Launcher,,411,21,5,1,Action/Adventure,Space,Classic,,1984,,,97,1
6928-1,Uranium Search Vehicle,,225,42,4.7,3,Action/Adventure,Space,Classic,,1984,,,199,2
6951-1,Robot Command Center,,413,67,4.9,8,Action/Adventure,Space,Classic,,1984,,,295,3
6971-1,Inter-Galactic Command Base,,1042,175,4.8,6,Action/Adventure,Space,Classic,,1984,,,328,3
8020-1,Universal Set,,28,13,5,4,Technical,Technic,Universal,,1984,,,119,0
8040-1,Universal Set,,137,19,4.3,3,Technical,Technic,Universal,,1984,,,163,0
8843-1,Fork-Lift Truck,,247,42,3.5,4,Technical,Technic,,,1984,,,269,0
8851-1,Excavator,,,68,3.9,11,Technical,Technic,,,1984,,,347,0
106-1,UNICEF Van,,,1493,5,1,Modern day,Town,Special,,1985,,,59,1
107-2,Mail Truck,,899,156,5,2,Modern day,Town,Special,,1985,,,31,1
1552-1,Maersk Truck and Trailer Unit,,,320,5,1,Modern day,Town,Special,,1985,,,352,1
1966-1,Car Repair Shop,,621,74,4.5,2,Modern day,Town,Special,,1985,,,296,2
1968-1,(Unnamed),,,96,3.9,7,Action/Adventure,Space,Classic,,1985,,,193,2
1972-1,Go-Kart,,67,15,5,1,Technical,Technic,,,1985,,,98,0
3624-1,Flower Car,,,15,,,Junior,Fabuland,,,1985,,,19,1
3625-1,Sandy Seagull's Aeroplane,5.25,102,9,,,Junior,Fabuland,,,1985,,,8,1
3631-1,The Fabuland Big Band Peter Pig and Gabriel Gorilla,5.25,76,21,,,Junior,Fabuland,,,1985,,,30,2
3641-1,Car and Camper,6.55,87,17,,,Junior,Fabuland,,,1985,,,22,1
3642-1,Fire Engine,,68,14,,,Junior,Fabuland,,,1985,,,18,1
3643-1,Police Van,6.55,,13,,,Junior,Fabuland,,,1985,,,9,2
3660-1,Fisherman's Wharf,11,,20,,,Junior,Fabuland,,,1985,,,25,1
3673-1,Paddle Steamer,20,180,53,,,Junior,Fabuland,,,1985,,,61,3
3681-1,Amusement Park,33.35,,91,,,Junior,Fabuland,,,1985,,,99,4
3714-1,Workman and Barrow,2.25,,17,,,Junior,Fabuland,,,1985,,,6,1
3715-1,Hannah's Flower Stand,2.25,40,10,,,Junior,Fabuland,,,1985,,,14,1
3716-1,Telephone,2.25,74,9,,,Junior,Fabuland,,,1985,,,8,1
3717-1,Mouse in a Tub Fishing,,70,10,,,Junior,Fabuland,,,1985,,,9,1
3792-1,Bedroom,3.35,60,7,,,Junior,Fabuland,,,1985,,,14,1
3793-1,Boris Bulldog and Mailbox,,,7,,,Junior,Fabuland,,,1985,,,12,1
3794-1,Police Motorcycle,3.35,,16,,,Junior,Fabuland,,,1985,,,14,1
3795-1,Catherine Cat in her Kitchen,3.35,74,15,,,Junior,Fabuland,,,1985,,,28,1
6011-1,Black Knight's Treasure,,70,15,3.8,6,Historical,Castle,Black Falcons,,1985,279.3,,25,1
6055-1,Prisoner Convoy,,280,30,4.2,6,Historical,Castle,Lion Knights,,1985,,,115,4
6102-1,Castle Mini-Figures,5.5,85,37,4.6,5,Historical,Castle,Accessories,,1985,,,36,6
6368-1,Jet Airliner,12.75,307,35,4.4,8,Modern day,Town,Flight,,1985,,,136,2
6369-1,Auto Workshop,,398,31,5,6,Modern day,Town,Shops and Services,,1985,,,134,1
6370-1,Weekend Home,,289,39,5,4,Modern day,Town,Leisure,,1985,,,177,2
6377-1,Delivery Center,25.5,368,118,4.7,3,Modern day,Town,Flight,,1985,,,305,4
6385-1,Fire House-I,43,454,67,4.6,5,Modern day,Town,Fire,,1985,,,407,3
6392-1,Airport,52.75,435,86,4.9,12,Modern day,Town,Flight,,1985,,,530,8
6601-1,Ice Cream Cart,,146,8,4.7,3,Modern day,Town,Leisure,,1985,,,30,1
6603-1,Shovel Truck,,40,4,4,1,Modern day,Town,Construction,,1985,,,27,1
6604-1,Formula 1 Racer,,40,3,2.8,4,Modern day,Town,Racing,,1985,,,31,1
6631-1,Steam Shovel,,75,9,4,2,Modern day,Town,Construction,,1985,,,47,1
6632-1,Tactical Patrol Truck,,28,5,3.5,2,Modern day,Town,Police,,1985,,,44,1
6633-1,Family Car,,229,17,3,1,Modern day,Town,Vehicles,,1985,,,46,1
6656-1,Tow Truck,,113,10,4.5,4,Modern day,Town,Maintenance,,1985,,,53,1
6657-1,Fire Patrol Copter,,106,7,,,Modern day,Town,Fire,,1985,,,66,1
6682-1,Cement Mixer,,151,13,4,1,Modern day,Town,Construction,,1985,,,90,1
6688-1,Ambulance,6.6,89,9,4,4,Modern day,Town,Medical,,1985,693.12,,72,2
6689-1,Post-Station,,141,25,4,3,Modern day,Town,Postal,,1985,,,53,2
6697-1,Rescue-I Helicopter,,299,15,4.6,5,Modern day,Town,Emergency,,1985,,,82,2
6805-1,Astro Dasher,,83,10,5,1,Action/Adventure,Space,Classic,,1985,,,29,1
6806-1,Surface Hopper,,110,10,5,3,Action/Adventure,Space,Classic,,1985,,,23,1
6807-1,Space Sledge with Astronaut and Robot,,121,22,3,1,Action/Adventure,Space,Classic,,1985,,,29,2
6825-1,Cosmic Comet,,77,10,4.3,3,Action/Adventure,Space,Classic,,1985,,,40,1
6826-1,Crater Crawler,,71,14,4,3,Action/Adventure,Space,Classic,,1985,,,32,1
6847-1,Space Dozer,,114,14,4.3,3,Action/Adventure,Space,Classic,,1985,,,49,1
6848-2,Inter-Planetary Shuttle,,,45,,,Action/Adventure,Space,Classic,,1985,,,62,1
6872-1,Xenon X-Craft,,189,16,4.3,7,Action/Adventure,Space,Classic,,1985,,,86,2
6882-1,Walking Astro Grappler,,185,26,4.4,8,Action/Adventure,Space,Classic,,1985,,,92,1
6891-1,Gamma V Laser Craft,,603,38,4.8,4,Action/Adventure,Space,Classic,,1985,,,144,2
6931-1,FX Star Patroller,,417,62,4.8,4,Action/Adventure,Space,Classic,,1985,,,239,2
6952-1,Solar Power Transporter,36.5,618,61,5,5,Action/Adventure,Space,Classic,,1985,,,317,5
7715-1,Push-Along Passenger Steam Train,,394,112,3.5,2,Modern day,Trains,4.5/12 V,,1985,,,449,5
7722-1,Steam Cargo Train Set,68.5,350,150,4.2,9,Modern day,Trains,4.5/12 V,,1985,,,495,3
7735-1,Freight Train Set,,,218,4.3,4,Modern day,Trains,4.5/12 V,,1985,,,509,2
7745-1,High-Speed City Express Passenger Train Set,,1185,268,4.4,5,Modern day,Trains,4.5/12 V,,1985,,,736,10
7817-1,Crane Wagon,25.5,145,53,4,2,Modern day,Trains,4.5/12 V,,1985,,,147,1
7835-1,Road Crossing,18.15,115,65,4.3,4,Modern day,Trains,4.5/12 V,,1985,,,129,1
1525-1,LEGO Container Lorry,,,71,,,Modern day,Town,Vehicles,,1986,,,154,1
1526-1, Unknown,,,,,,Action/Adventure,Space,Classic,,1986,,,104,0
1528-1,Dragster,,,22,3,2,Modern day,Town,Racing,,1986,,,21,1
1557-1,Scooter,,,11,3,3,Action/Adventure,Space,Classic,,1986,,,26,1
