set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
31039-1,Blue Power Jet,69.99,66,50,4.5,2,Model making,Creator,,,2015,8984.52,1.27,608,0
30320-1,Gallimimus Trap,,18,8,4.5,4,Licensed,Jurassic World,,,2015,,,29,0
31027-1,Blue Racer,4.99,6,3,5,2,Model making,Creator,,,2015,521.794,0.06,67,0
31028-1,Sea Plane,4.99,6,3,4,3,Model making,Creator,,,2015,521.794,0.07,53,0
31029-1,Cargo Heli,9.99,12,6,4,1,Model making,Creator,,,2015,1238.826,0.19,132,0
31030-1,Red Go-Kart,9.99,10,4,5,1,Model making,Creator,,,2015,1238.826,0.19,106,0
31031-1,Rainforest Animals,14.99,29,16,5,5,Model making,Creator,,,2015,1773.216,0.29,215,0
40140-1,Flower Cart,4.99,14,11,4.5,2,Model making,Creator,,,2015,,,71,1
40156-1,Organiser,16.99,16,,,,Girls,Friends,,,2015,,,171,0
40158-1,Pirates Chess Set,59.99,,,4.5,2,Historical,Pirates,,,2015,,,857,20
41060-1,Sleeping Beauty's Royal Bedroom,12.99,14,14,3,2,Licensed,Disney,Sleeping Beauty,,2015,996.165,0.12,96,1
41061-1,Jasmine's Exotic Palace,19.99,34,12,3,1,Licensed,Disney,Aladdin,,2015,1801.13,0.25,143,1
41062-1,Elsa's Sparkling Ice Castle,39.99,47,27,4.5,2,Licensed,Disney,Frozen,,2015,4359.156,0.53,292,3
41063-1,Ariel's Undersea Palace,54.99,106,47,,,Licensed,Disney,The Little Mermaid,,2015,5704.788,0.79,379,2
41071-1,Aira's Creative Workshop,9.99,15,9,4,2,Action/Adventure,Elves,,,2015,996.165,0.12,98,1
41072-1,Naida's Spa Secret,19.99,69,30,4,2,Action/Adventure,Elves,,,2015,3603.024,0.41,249,1
41073-1,Naida's Epic Adventure Ship,29.99,41,30,4,1,Action/Adventure,Elves,,,2015,4359.156,0.51,312,2
41074-1,Azari and the Magical Bakery,29.99,50,32,4,1,Action/Adventure,Elves,,,2015,4359.156,0.53,324,2
41075-1,The Elves' Treetop Hideaway,49.99,53,48,3.5,2,Action/Adventure,Elves,,,2015,8256.96,0.88,505,3
41076-1,Farran and the Crystal Hollow,14.99,15,17,4.5,2,Action/Adventure,Elves,,,2015,1642.791,0.21,175,1
41077-1,Aira's Pegasus Sleigh,29.99,40,29,4,1,Action/Adventure,Elves,,,2015,5704.788,0.53,319,2
41078-1,Skyra's Mysterious Sky Castle,79.99,112,84,5,2,Action/Adventure,Elves,,,2015,12882.24,1.37,808,3
41085-1,Vet Clinic,19.99,28,15,4,1,Girls,Friends,Vet,,2015,3052.562,0.38,192,1
41086-1,Vet Ambulance,9.99,11,5,3,1,Girls,Friends,Vet,,2015,996.165,0.12,89,1
41087-1,Bunny & Babies,4.99,12,3,4,2,Girls,Friends,Vet,,2015,521.794,0.06,47,0
41088-1,Puppy Training,4.99,7,3,,,Girls,Friends,Vet,,2015,521.794,0.07,65,0
41089-1,Little Foal,4.99,7,4,,,Girls,Friends,Vet,,2015,521.794,0.07,43,0
41090-1,Olivia's Garden Pool,9.99,9,6,,,Girls,Friends,,,2015,996.165,0.13,82,1
41091-1,Mia's Roadster,14.99,18,8,5,1,Girls,Friends,,,2015,1238.826,0.2,187,1
41092-1,Stephanie's Pizzeria,9.99,12,6,4.3,3,Girls,Friends,,,2015,996.165,0.12,87,1
41093-1,Heartlake Hair Salon,29.99,41,29,,,Girls,Friends,,,2015,4359.156,0.57,318,2
41094-1,Heartlake Lighthouse,39.99,45,29,5,1,Girls,Friends,,,2015,7105.964,0.83,473,2
41095-1,Emma's House,69.99,86,64,4,1,Girls,Friends,,,2015,11877.84,1.43,706,3
41097-1,Heartlake Hot Air Balloon,19.99,24,16,,,Girls,Friends,,,2015,4359.156,0.43,254,2
41098-1,Emma's Tourist Kiosk,9.99,9,5,4,1,Girls,Friends,,,2015,996.165,0.12,98,1
41099-1,Heartlake Skate Park,19.99,17,11,,,Girls,Friends,,,2015,3052.562,0.34,199,1
41100-1,Heartlake Private Jet,29.99,43,20,4,1,Girls,Friends,,,2015,3989.226,0.45,230,2
41101-1,Heartlake Grand Hotel,129.99,179,111,5,1,Girls,Friends,,,2015,22659.588,2.32,1552,5
41102-1,Friends Advent Calendar,29.99,21,8,4,1,Girls,Friends,Seasonal,,2015,7105.964,0.38,233,2
41103-1,Pop Star Recording Studio,14.99,17,8,,,Girls,Friends,Pop Star,,2015,1238.826,0.18,172,1
41104-1,Pop Star Dressing Room,29.99,50,10,4,1,Girls,Friends,Pop Star,,2015,3989.226,0.49,279,2
41105-1,Pop Star Show Stage,39.99,40,17,,,Girls,Friends,Pop Star,,2015,5704.788,0.7,446,2
41106-1,Pop Star Tour Bus,59.99,73,33,,,Girls,Friends,Pop Star,,2015,10016.64,1.18,682,3
41107-1,Pop Star Limousine,24.99,33,14,5,1,Girls,Friends,Pop Star,,2015,3989.226,0.4,265,2
41108-1,Heartlake Food Market,39.99,48,26,,,Girls,Friends,,,2015,7105.964,0.72,388,2
41109-1,Heartlake City Airport,89.99,121,93,3,1,Girls,Friends,,,2015,17055.36,1.41,692,3
41527-1,Rokit,4.99,6,4,5,2,Licensed,Mixels,Series 4,,2015,351,0.05,66,0
41528-1,Niksput,4.99,5,4,,,Licensed,Mixels,Series 4,,2015,351,0.05,62,0
41529-1,Nurp-Naut,4.99,5,3,5,2,Licensed,Mixels,Series 4,,2015,351,0.05,52,0
41530-1,Meltus,4.99,8,5,4,1,Licensed,Mixels,Series 4,,2015,351,0.05,66,0
41531-1,Flamzer,4.99,6,5,3,1,Licensed,Mixels,Series 4,,2015,351,0.05,60,0
41532-1,Burnard,4.99,7,4,5,1,Licensed,Mixels,Series 4,,2015,351,0.05,59,0
41533-1,Globert,4.99,13,7,3,1,Licensed,Mixels,Series 4,,2015,351,0.05,45,0
41534-1,Vampos,4.99,8,5,4,1,Licensed,Mixels,Series 4,,2015,351,0.05,59,0
41535-1,Boogly,4.99,7,4,4.5,2,Licensed,Mixels,Series 4,,2015,351,0.05,52,0
41536-1,Gox,4.99,5,5,4.5,2,Licensed,Mixels,Series 5,,2015,351,0.05,62,0
41537-1,Jinky,4.99,6,3,4.3,3,Licensed,Mixels,Series 5,,2015,351,0.05,59,0
41538-1,Kamzo,4.99,5,4,4,1,Licensed,Mixels,Series 5,,2015,351,0.05,58,0
41539-1,Krog,4.99,7,5,4,1,Licensed,Mixels,Series 5,,2015,351,0.05,60,0
41540-1,Chilbo,4.99,7,5,5,1,Licensed,Mixels,Series 5,,2015,351,0.05,65,0
41541-1,Snoof,4.99,7,5,4,1,Licensed,Mixels,Series 5,,2015,351,0.05,54,0
41542-1,Spugg,4.99,6,4,4.5,2,Licensed,Mixels,Series 5,,2015,351,0.05,51,0
41543-1,Turg,4.99,6,4,3,2,Licensed,Mixels,Series 5,,2015,351,0.05,56,0
41544-1,Tungster,4.99,6,4,2,1,Licensed,Mixels,Series 5,,2015,351,0.05,60,0
41545-1,Kramm,4.99,6,4,,,Licensed,Mixels,Series 6,,2015,351,0.06,68,0
41546-1,Forx,4.99,5,4,5,2,Licensed,Mixels,Series 6,,2015,351,0.05,65,0
41547-1,Wuzzo,4.99,5,3,,,Licensed,Mixels,Series 6,,2015,351,0.05,74,0
41548-1,Dribbal,4.99,7,5,4,2,Licensed,Mixels,Series 6,,2015,351,0.05,52,0
41549-1,Gurggle,4.99,6,4,3,1,Licensed,Mixels,Series 6,,2015,351,0.05,66,0
41550-1,Slusho,4.99,7,5,2,1,Licensed,Mixels,Series 6,,2015,351,0.05,53,0
41551-1,Snax,4.99,6,3,5,2,Licensed,Mixels,Series 6,,2015,351,0.05,51,0
41552-1,Berp,4.99,7,5,,,Licensed,Mixels,Series 6,,2015,351,0.05,68,0
41553-1,Vaka-Waka,4.99,7,4,5,1,Licensed,Mixels,Series 6,,2015,351,0.05,69,0
42031-1,Cherry Picker,12.99,23,9,4.3,4,Technical,Technic,,,2015,1350.357,0.19,155,0
42032-1,Compact Tracked Loader,19.99,24,15,5,6,Technical,Technic,,,2015,1773.216,0.3,252,0
42033-1,Record Breaker,19.99,21,9,4,2,Technical,Technic,,,2015,1773.216,0.27,125,0
42034-1,Quad Bike,19.99,27,13,3.5,2,Technical,Technic,,,2015,2425.482,0.32,148,0
42035-1,Mining Truck,29.99,44,22,4,1,Technical,Technic,,,2015,3603.024,0.58,362,0
42036-1,Street Motorcycle,39.99,48,34,4.2,6,Technical,Technic,,,2015,4732.98,0.68,375,0
42037-1,Formula Off-Roader,59.99,70,48,4.8,6,Technical,Technic,,,2015,7105.964,0.99,494,0
42038-1,Arctic Truck,84.99,86,56,3.5,2,Technical,Technic,,,2015,10016.64,1.38,913,0
42039-1,24 Hours Race Car,129.99,133,91,4.8,5,Technical,Technic,,,2015,17055.36,2.07,1219,0
42040-1,Fire Plane,49.99,74,32,4.8,5,Technical,Technic,,,2015,7105.964,1.17,578,0
42041-1,Race Truck,69.99,70,49,3,1,Technical,Technic,,,2015,8256.96,0.97,608,0
42042-1,Crawler Crane,149.99,188,125,4.6,5,Technical,Technic,,,2015,19139.652,2.22,1401,0
42043-1,Mercedes-Benz Arocs 3245,229.99,257,210,4.8,9,Technical,Technic,,,2015,34640.64,4.49,2793,0
45517-1,Transformer 10V DC,32.99,29,18,,,Technical,Mindstorms,,,2015,,,1,0
60065-1,ATV Patrol,6.99,8,5,3.5,2,Modern day,City,Swamp Police,,2015,643.916,0.08,59,2
60066-1,Swamp Police Starter Set,9.99,12,7,5,2,Modern day,City,Swamp Police,,2015,996.165,0.13,78,4
60067-1,Helicopter Pursuit,39.99,38,17,4,1,Modern day,City,Swamp Police,,2015,5615.184,0.64,253,3
60068-1,Crooks' Hideout,69.99,60,40,5,1,Modern day,City,Swamp Police,,2015,10016.64,1.06,473,5
60069-1,Swamp Police Station,89.99,88,46,4.5,2,Modern day,City,Swamp Police,,2015,13857.48,1.56,707,6
60070-1,Water Plane Chase,29.99,32,20,4.5,2,Modern day,City,Swamp Police,,2015,4359.156,0.56,263,2
60071-1,Hovercraft Arrest,44.99,43,20,5,1,Modern day,City,Swamp Police,,2015,5604.704,0.74,331,3
60072-1,Demolition Starter Set,9.99,13,9,4.4,5,Modern day,City,Construction,,2015,1350.357,0.13,85,4
60073-1,Service Truck,24.99,34,15,4.8,5,Modern day,City,Construction,,2015,3052.562,0.39,233,2
60074-1,Bulldozer,39.99,37,24,5,1,Modern day,City,Construction,,2015,4359.156,0.56,384,2
60075-1,Excavator and Truck,49.99,59,32,,,Modern day,City,Construction,,2015,5604.704,0.7,311,2
60076-1,Demolition Site,89.99,99,64,5,1,Modern day,City,Construction,,2015,11877.84,1.41,776,5
60077-1,Space Starter Set,9.99,13,7,4.3,3,Modern day,City,Space,,2015,996.165,0.14,107,4
60078-1,Utility Shuttle,24.99,28,19,4.8,4,Modern day,City,Space,,2015,3052.562,0.36,155,2
60079-1,Training Jet Transporter,49.99,53,25,5,1,Modern day,City,Space,,2015,7105.964,0.8,448,3
60080-1,Spaceport,119.99,122,84,3.7,3,Modern day,City,Space,,2015,12882.24,1.53,586,5
60081-1,Pickup Tow Truck,19.99,26,15,4.7,3,Modern day,City,Great Vehicles,,2015,3052.562,0.41,209,2
60082-1,Dune Buggy Trailer,19.99,28,15,5,1,Modern day,City,Great Vehicles,,2015,3052.562,0.41,222,2
60083-1,Snowplough Truck,19.99,32,21,5,2,Modern day,City,Great Vehicles,,2015,3603.024,0.42,196,1
60084-1,Racing Bike Transporter,19.99,21,12,4,1,Modern day,City,Great Vehicles,,2015,3052.562,0.36,178,2
60085-1,4x4 with Powerboat,29.99,40,20,3,1,Modern day,City,Great Vehicles,,2015,6152.874,0.7,301,2
60086-1,LEGO City Starter Set,29.99,28,21,5,1,Modern day,City,Town,,2015,4359.156,0.52,242,5
60088-1,Fire Starter Set,9.99,11,8,,,Modern day,City,Fire,,2015,996.165,0.13,92,4
